service_center,appointment_type,channel,scheduled_date,technician_utilization_pct,outcome_status
"Seattle, WA",Warranty Repair,Collision Center,2026-06-20,84.8,Cancelled
"Austin, TX",Tire Rotation,Service Center,2026-06-21,66.2,Completed
"Chicago, IL",Tire Rotation,Service Center,2026-06-21,41.6,Completed
"Chicago, IL",Tire Rotation,Service Center,2026-06-21,68.5,Completed
"Chicago, IL",Tire Rotation,Mobile Service,2026-06-21,93.0,Cancelled
"Fremont, CA",Alignment,Service Center,2026-06-21,77.6,Completed
"Chicago, IL",12V Battery Service,Service Center,2026-06-21,83.7,Rescheduled
"Denver, CO",Cabin/HEPA Filter Replacement,Mobile Service,2026-06-21,70.5,Rescheduled
"Austin, TX",Alignment,Service Center,2026-06-21,100.0,Cancelled
"Seattle, WA",12V Battery Service,Service Center,2026-06-21,68.2,Completed
"Denver, CO",Brake Fluid/Caliper Service,Mobile Service,2026-06-21,76.2,Completed
"Toronto, ON",Alignment,Mobile Service,2026-06-21,65.0,Completed
"Chicago, IL",Collision Repair,Mobile Service,2026-06-21,77.5,Completed
"Toronto, ON",Collision Repair,Service Center,2026-06-21,81.8,Completed
"Fremont, CA",Tire Rotation,Mobile Service,2026-06-21,83.8,Cancelled
"Toronto, ON",Cabin/HEPA Filter Replacement,Service Center,2026-06-21,61.5,Completed
"Chicago, IL",Brake Fluid/Caliper Service,Mobile Service,2026-06-21,83.1,Cancelled
"Denver, CO",Cabin/HEPA Filter Replacement,Service Center,2026-06-21,66.7,Completed
"Toronto, ON",Warranty Repair,Service Center,2026-06-21,65.5,Completed
"Fremont, CA",Collision Repair,Service Center,2026-06-21,80.7,Cancelled
"Austin, TX",12V Battery Service,Mobile Service,2026-06-21,68.0,Rescheduled
"Austin, TX",12V Battery Service,Service Center,2026-06-21,91.4,Cancelled
"Seattle, WA",Tire Rotation,Service Center,2026-06-21,33.0,Cancelled
"Fremont, CA",Collision Repair,Service Center,2026-06-21,64.1,Completed
"Fremont, CA",Brake Fluid/Caliper Service,Mobile Service,2026-06-21,96.9,Cancelled
"Fremont, CA",Alignment,Mobile Service,2026-06-21,68.9,Completed
"Chicago, IL",Cabin/HEPA Filter Replacement,Mobile Service,2026-06-21,88.8,Rescheduled
"Fremont, CA",Cabin/HEPA Filter Replacement,Service Center,2026-06-21,80.3,Cancelled
"Fremont, CA",Warranty Repair,Collision Center,2026-06-21,62.1,Completed
"Denver, CO",Brake Fluid/Caliper Service,Service Center,2026-06-21,72.8,Completed
"Toronto, ON",Brake Fluid/Caliper Service,Service Center,2026-06-21,79.9,Cancelled
"Denver, CO",Warranty Repair,Service Center,2026-06-21,88.6,Cancelled
"Toronto, ON",Cabin/HEPA Filter Replacement,Service Center,2026-06-21,58.7,Completed
"Toronto, ON",Collision Repair,Collision Center,2026-06-21,80.1,Cancelled
"Toronto, ON",Brake Fluid/Caliper Service,Service Center,2026-06-21,93.4,Completed
"Chicago, IL",Cabin/HEPA Filter Replacement,Mobile Service,2026-06-21,100.0,Rescheduled
"Seattle, WA",Brake Fluid/Caliper Service,Service Center,2026-06-21,67.7,Cancelled
"Denver, CO",12V Battery Service,Mobile Service,2026-06-21,64.9,Rescheduled
"Seattle, WA",Warranty Repair,Mobile Service,2026-06-21,60.9,Completed
"Chicago, IL",Tire Rotation,Service Center,2026-06-21,86.9,Completed
"Fremont, CA",Brake Fluid/Caliper Service,Service Center,2026-06-21,75.5,Completed
"Denver, CO",Brake Fluid/Caliper Service,Service Center,2026-06-21,68.5,Cancelled
"Austin, TX",Collision Repair,Service Center,2026-06-21,100.0,Completed
"Toronto, ON",Collision Repair,Service Center,2026-06-21,85.8,Rescheduled
"Toronto, ON",Cabin/HEPA Filter Replacement,Mobile Service,2026-06-21,63.2,Completed
"Austin, TX",Alignment,Service Center,2026-06-21,62.9,Completed
"Seattle, WA",Tire Rotation,Mobile Service,2026-06-21,50.1,Completed
"Austin, TX",Warranty Repair,Mobile Service,2026-06-21,50.8,Completed
"Denver, CO",Alignment,Mobile Service,2026-06-21,72.0,Cancelled
"Denver, CO",Tire Rotation,Service Center,2026-06-21,55.0,Completed
"Toronto, ON",Cabin/HEPA Filter Replacement,Service Center,2026-06-21,75.3,Completed
"Fremont, CA",Alignment,Service Center,2026-06-21,61.7,Completed
"Toronto, ON",Collision Repair,Service Center,2026-06-21,76.2,Completed
"Denver, CO",Cabin/HEPA Filter Replacement,Service Center,2026-06-21,100.0,Completed
"Chicago, IL",Warranty Repair,Service Center,2026-06-21,67.1,Rescheduled
"Denver, CO",Cabin/HEPA Filter Replacement,Service Center,2026-06-21,49.4,Completed
"Fremont, CA",12V Battery Service,Service Center,2026-06-22,67.3,Completed
"Chicago, IL",Collision Repair,Mobile Service,2026-06-22,76.0,Completed
"Austin, TX",Collision Repair,Service Center,2026-06-22,72.4,Rescheduled
"Seattle, WA",Brake Fluid/Caliper Service,Service Center,2026-06-22,88.5,Completed
"Chicago, IL",Brake Fluid/Caliper Service,Mobile Service,2026-06-22,75.6,Rescheduled
"Seattle, WA",Brake Fluid/Caliper Service,Service Center,2026-06-22,100.0,Cancelled
"Chicago, IL",Tire Rotation,Mobile Service,2026-06-22,61.2,Cancelled
"Denver, CO",Alignment,Mobile Service,2026-06-22,63.4,Completed
"Fremont, CA",Warranty Repair,Service Center,2026-06-22,75.7,Completed
"Denver, CO",Alignment,Service Center,2026-06-22,63.9,Cancelled
"Chicago, IL",Cabin/HEPA Filter Replacement,Mobile Service,2026-06-22,48.5,Completed
"Denver, CO",Alignment,Service Center,2026-06-22,57.4,Cancelled
"Fremont, CA",Warranty Repair,Service Center,2026-06-22,83.2,Completed
"Chicago, IL",Alignment,Service Center,2026-06-22,82.6,Completed
"Fremont, CA",12V Battery Service,Mobile Service,2026-06-22,86.8,Cancelled
"Denver, CO",Brake Fluid/Caliper Service,Mobile Service,2026-06-22,65.7,Cancelled
"Seattle, WA",Cabin/HEPA Filter Replacement,Mobile Service,2026-06-22,52.8,Completed
"Chicago, IL",Collision Repair,Service Center,2026-06-22,54.6,Completed
"Austin, TX",Tire Rotation,Service Center,2026-06-22,72.5,Completed
"Austin, TX",Alignment,Service Center,2026-06-22,79.4,Completed
"Fremont, CA",Collision Repair,Mobile Service,2026-06-22,62.9,Completed
"Toronto, ON",12V Battery Service,Collision Center,2026-06-22,67.8,Completed
"Austin, TX",Alignment,Mobile Service,2026-06-22,73.9,Rescheduled
"Toronto, ON",Tire Rotation,Collision Center,2026-06-22,74.5,Completed
"Fremont, CA",Warranty Repair,Service Center,2026-06-22,62.1,Completed
"Denver, CO",Cabin/HEPA Filter Replacement,Collision Center,2026-06-22,89.4,Rescheduled
"Chicago, IL",Tire Rotation,Mobile Service,2026-06-22,89.8,Completed
"Toronto, ON",Warranty Repair,Mobile Service,2026-06-22,87.4,Cancelled
"Denver, CO",Warranty Repair,Service Center,2026-06-22,84.3,Rescheduled
"Toronto, ON",Tire Rotation,Mobile Service,2026-06-22,63.7,Cancelled
"Denver, CO",Alignment,Mobile Service,2026-06-22,60.7,Rescheduled
"Austin, TX",Cabin/HEPA Filter Replacement,Service Center,2026-06-22,53.2,Completed
"Austin, TX",Cabin/HEPA Filter Replacement,Service Center,2026-06-22,66.2,Completed
"Denver, CO",Warranty Repair,Mobile Service,2026-06-22,71.0,Completed
"Denver, CO",12V Battery Service,Service Center,2026-06-22,64.1,Completed
"Chicago, IL",Alignment,Mobile Service,2026-06-22,55.3,Completed
"Denver, CO",Cabin/HEPA Filter Replacement,Mobile Service,2026-06-22,69.8,Cancelled
"Fremont, CA",Collision Repair,Mobile Service,2026-06-22,80.5,Rescheduled
"Seattle, WA",Collision Repair,Service Center,2026-06-22,97.1,Rescheduled
"Toronto, ON",Warranty Repair,Service Center,2026-06-22,80.4,Rescheduled
"Chicago, IL",Brake Fluid/Caliper Service,Service Center,2026-06-22,58.6,Completed
"Fremont, CA",Cabin/HEPA Filter Replacement,Service Center,2026-06-22,60.6,Completed
"Chicago, IL",Brake Fluid/Caliper Service,Service Center,2026-06-22,73.5,Completed
"Austin, TX",Warranty Repair,Service Center,2026-06-22,62.6,Cancelled
"Austin, TX",12V Battery Service,Service Center,2026-06-22,59.6,Completed
"Denver, CO",Alignment,Mobile Service,2026-06-22,66.2,Cancelled
"Toronto, ON",Tire Rotation,Mobile Service,2026-06-22,77.3,Completed
"Denver, CO",Brake Fluid/Caliper Service,Service Center,2026-06-22,61.7,Completed
"Toronto, ON",12V Battery Service,Mobile Service,2026-06-22,69.1,Completed
"Denver, CO",12V Battery Service,Service Center,2026-06-22,72.7,Completed
"Toronto, ON",Brake Fluid/Caliper Service,Service Center,2026-06-22,79.5,Completed
"Denver, CO",Warranty Repair,Service Center,2026-06-22,88.8,Completed
"Seattle, WA",Alignment,Service Center,2026-06-22,77.3,Completed
"Chicago, IL",Alignment,Mobile Service,2026-06-22,55.9,Rescheduled
"Chicago, IL",Warranty Repair,Service Center,2026-06-22,83.5,Rescheduled
"Seattle, WA",Brake Fluid/Caliper Service,Service Center,2026-06-22,77.5,Completed
"Austin, TX",Collision Repair,Service Center,2026-06-22,74.8,Cancelled
"Fremont, CA",12V Battery Service,Service Center,2026-06-22,93.3,Rescheduled
"Toronto, ON",Tire Rotation,Mobile Service,2026-06-22,61.3,Completed
"Seattle, WA",Warranty Repair,Mobile Service,2026-06-23,67.6,Completed
"Seattle, WA",Collision Repair,Mobile Service,2026-06-23,45.7,Completed
"Seattle, WA",Collision Repair,Mobile Service,2026-06-23,86.8,Completed
"Fremont, CA",Alignment,Service Center,2026-06-23,57.7,Rescheduled
"Seattle, WA",Warranty Repair,Mobile Service,2026-06-23,68.7,Completed
"Toronto, ON",12V Battery Service,Service Center,2026-06-23,84.8,Completed
"Seattle, WA",Tire Rotation,Service Center,2026-06-23,100.0,Completed
"Fremont, CA",Brake Fluid/Caliper Service,Service Center,2026-06-23,65.8,Completed
"Fremont, CA",Tire Rotation,Mobile Service,2026-06-23,62.8,Cancelled
"Chicago, IL",Warranty Repair,Service Center,2026-06-23,90.6,Completed
"Toronto, ON",Brake Fluid/Caliper Service,Service Center,2026-06-23,70.8,Completed
"Toronto, ON",Cabin/HEPA Filter Replacement,Service Center,2026-06-23,91.4,Completed
"Austin, TX",Cabin/HEPA Filter Replacement,Service Center,2026-06-23,73.3,Completed
"Chicago, IL",Brake Fluid/Caliper Service,Service Center,2026-06-23,63.5,Completed
"Fremont, CA",12V Battery Service,Mobile Service,2026-06-23,66.8,Completed
"Fremont, CA",Warranty Repair,Service Center,2026-06-23,79.9,Completed
"Toronto, ON",Warranty Repair,Mobile Service,2026-06-23,83.8,Cancelled
"Denver, CO",Tire Rotation,Service Center,2026-06-23,52.8,Cancelled
"Denver, CO",Brake Fluid/Caliper Service,Service Center,2026-06-23,66.8,Completed
"Austin, TX",Brake Fluid/Caliper Service,Mobile Service,2026-06-23,81.6,Completed
"Toronto, ON",Warranty Repair,Service Center,2026-06-23,60.8,Completed
"Austin, TX",Collision Repair,Service Center,2026-06-23,71.7,Rescheduled
"Toronto, ON",Collision Repair,Service Center,2026-06-23,57.8,Completed
"Fremont, CA",Tire Rotation,Service Center,2026-06-23,70.1,Cancelled
"Fremont, CA",Cabin/HEPA Filter Replacement,Service Center,2026-06-23,55.9,Completed
"Chicago, IL",Collision Repair,Mobile Service,2026-06-23,75.7,Completed
"Austin, TX",Tire Rotation,Mobile Service,2026-06-23,74.8,Cancelled
"Fremont, CA",12V Battery Service,Service Center,2026-06-23,68.9,Completed
"Toronto, ON",Tire Rotation,Service Center,2026-06-23,70.8,Completed
"Seattle, WA",Alignment,Service Center,2026-06-23,84.1,Completed
"Chicago, IL",Brake Fluid/Caliper Service,Service Center,2026-06-23,84.9,Cancelled
"Toronto, ON",Alignment,Service Center,2026-06-23,76.1,Cancelled
"Austin, TX",Collision Repair,Mobile Service,2026-06-23,70.2,Cancelled
"Fremont, CA",Alignment,Mobile Service,2026-06-23,88.7,Completed
"Denver, CO",Cabin/HEPA Filter Replacement,Service Center,2026-06-23,77.0,Cancelled
"Denver, CO",12V Battery Service,Service Center,2026-06-23,79.6,Completed
"Fremont, CA",Brake Fluid/Caliper Service,Mobile Service,2026-06-23,70.3,Completed
"Seattle, WA",Cabin/HEPA Filter Replacement,Mobile Service,2026-06-23,78.5,Completed
"Toronto, ON",Collision Repair,Service Center,2026-06-23,75.2,Completed
"Austin, TX",Collision Repair,Mobile Service,2026-06-23,97.8,Cancelled
"Denver, CO",Brake Fluid/Caliper Service,Service Center,2026-06-23,82.2,Completed
"Chicago, IL",12V Battery Service,Collision Center,2026-06-23,72.9,Completed
"Seattle, WA",Collision Repair,Service Center,2026-06-23,81.5,Cancelled
"Toronto, ON",Alignment,Mobile Service,2026-06-23,72.5,Rescheduled
"Denver, CO",Alignment,Mobile Service,2026-06-23,74.4,Rescheduled
"Toronto, ON",Alignment,Mobile Service,2026-06-23,45.5,Cancelled
"Denver, CO",12V Battery Service,Service Center,2026-06-23,77.5,Cancelled
"Chicago, IL",Tire Rotation,Service Center,2026-06-23,57.4,Completed
"Denver, CO",Warranty Repair,Service Center,2026-06-23,54.0,Cancelled
"Seattle, WA",Collision Repair,Mobile Service,2026-06-23,53.2,Completed
"Toronto, ON",Cabin/HEPA Filter Replacement,Service Center,2026-06-23,77.3,Completed
"Seattle, WA",Tire Rotation,Service Center,2026-06-23,87.9,Completed
"Denver, CO",Tire Rotation,Service Center,2026-06-23,77.0,Rescheduled
"Toronto, ON",Collision Repair,Service Center,2026-06-23,76.9,Completed
"Seattle, WA",Brake Fluid/Caliper Service,Service Center,2026-06-23,77.1,Completed
"Austin, TX",Brake Fluid/Caliper Service,Mobile Service,2026-06-23,69.0,Completed
"Seattle, WA",Alignment,Service Center,2026-06-24,64.2,Cancelled
"Toronto, ON",Tire Rotation,Mobile Service,2026-06-24,72.0,Rescheduled
"Fremont, CA",12V Battery Service,Service Center,2026-06-24,78.0,Completed
"Seattle, WA",Collision Repair,Service Center,2026-06-24,92.2,Completed
"Austin, TX",Alignment,Service Center,2026-06-24,71.9,Completed
"Chicago, IL",12V Battery Service,Mobile Service,2026-06-24,61.7,Completed
"Austin, TX",Warranty Repair,Service Center,2026-06-24,67.0,Completed
"Fremont, CA",Tire Rotation,Mobile Service,2026-06-24,60.1,Cancelled
"Chicago, IL",Brake Fluid/Caliper Service,Collision Center,2026-06-24,100.0,Cancelled
"Seattle, WA",Warranty Repair,Mobile Service,2026-06-24,68.1,Rescheduled
"Chicago, IL",Alignment,Mobile Service,2026-06-24,100.0,Cancelled
"Seattle, WA",Tire Rotation,Mobile Service,2026-06-24,64.1,Cancelled
"Toronto, ON",Brake Fluid/Caliper Service,Mobile Service,2026-06-24,53.1,Completed
"Denver, CO",Warranty Repair,Service Center,2026-06-24,100.0,Completed
"Toronto, ON",Cabin/HEPA Filter Replacement,Service Center,2026-06-24,77.4,Completed
"Denver, CO",Tire Rotation,Mobile Service,2026-06-24,42.6,Rescheduled
"Toronto, ON",Alignment,Service Center,2026-06-24,76.7,Completed
"Denver, CO",Cabin/HEPA Filter Replacement,Mobile Service,2026-06-24,100.0,Cancelled
"Toronto, ON",Warranty Repair,Service Center,2026-06-24,90.3,Completed
"Toronto, ON",Alignment,Service Center,2026-06-24,61.7,Cancelled
"Seattle, WA",Brake Fluid/Caliper Service,Mobile Service,2026-06-24,81.9,Cancelled
"Toronto, ON",12V Battery Service,Service Center,2026-06-24,88.8,Completed
"Seattle, WA",Tire Rotation,Mobile Service,2026-06-24,84.6,Cancelled
"Denver, CO",12V Battery Service,Mobile Service,2026-06-24,74.5,Completed
"Seattle, WA",Alignment,Collision Center,2026-06-24,100.0,Completed
"Toronto, ON",Brake Fluid/Caliper Service,Service Center,2026-06-24,100.0,Rescheduled
"Austin, TX",Tire Rotation,Service Center,2026-06-24,77.6,Cancelled
"Denver, CO",Collision Repair,Service Center,2026-06-24,86.8,Completed
"Chicago, IL",Alignment,Service Center,2026-06-24,65.5,Cancelled
"Denver, CO",12V Battery Service,Mobile Service,2026-06-24,48.1,Completed
"Fremont, CA",Collision Repair,Mobile Service,2026-06-24,77.6,Cancelled
"Denver, CO",Cabin/HEPA Filter Replacement,Mobile Service,2026-06-24,50.5,Completed
"Denver, CO",Alignment,Service Center,2026-06-24,66.5,Cancelled
"Fremont, CA",12V Battery Service,Mobile Service,2026-06-24,72.5,Completed
"Fremont, CA",Cabin/HEPA Filter Replacement,Mobile Service,2026-06-24,58.0,Completed
"Fremont, CA",Cabin/HEPA Filter Replacement,Mobile Service,2026-06-24,40.8,Cancelled
"Fremont, CA",Cabin/HEPA Filter Replacement,Service Center,2026-06-24,90.4,Completed
"Denver, CO",Warranty Repair,Mobile Service,2026-06-24,70.1,Completed
"Austin, TX",Warranty Repair,Mobile Service,2026-06-24,81.3,Completed
"Toronto, ON",Brake Fluid/Caliper Service,Service Center,2026-06-24,89.1,Completed
"Toronto, ON",Alignment,Service Center,2026-06-24,58.9,Completed
"Austin, TX",Collision Repair,Service Center,2026-06-24,72.3,Completed
"Fremont, CA",Collision Repair,Service Center,2026-06-24,81.8,Rescheduled
"Chicago, IL",Warranty Repair,Mobile Service,2026-06-24,69.1,Completed
"Seattle, WA",Warranty Repair,Service Center,2026-06-24,77.1,Rescheduled
"Denver, CO",Cabin/HEPA Filter Replacement,Service Center,2026-06-25,83.6,Completed
"Chicago, IL",12V Battery Service,Service Center,2026-06-25,82.8,Cancelled
"Denver, CO",Collision Repair,Mobile Service,2026-06-25,64.2,Completed
"Fremont, CA",Alignment,Service Center,2026-06-25,82.3,Completed
"Chicago, IL",Collision Repair,Mobile Service,2026-06-25,60.5,Completed
"Denver, CO",Tire Rotation,Service Center,2026-06-25,69.6,Completed
"Austin, TX",Collision Repair,Mobile Service,2026-06-25,66.4,Completed
"Seattle, WA",Warranty Repair,Service Center,2026-06-25,85.8,Completed
"Fremont, CA",Warranty Repair,Mobile Service,2026-06-25,77.7,Completed
"Toronto, ON",Collision Repair,Service Center,2026-06-25,73.1,Completed
"Fremont, CA",Alignment,Mobile Service,2026-06-25,69.3,Completed
"Seattle, WA",Cabin/HEPA Filter Replacement,Service Center,2026-06-25,88.9,Completed
"Chicago, IL",Tire Rotation,Mobile Service,2026-06-25,63.4,Cancelled
"Denver, CO",12V Battery Service,Service Center,2026-06-25,67.7,Completed
"Austin, TX",Cabin/HEPA Filter Replacement,Collision Center,2026-06-25,78.0,Rescheduled
"Seattle, WA",12V Battery Service,Service Center,2026-06-25,72.6,Rescheduled
"Chicago, IL",Alignment,Service Center,2026-06-25,54.2,Completed
"Chicago, IL",Alignment,Service Center,2026-06-25,72.0,Completed
"Seattle, WA",Collision Repair,Mobile Service,2026-06-25,55.8,Completed
"Austin, TX",Alignment,Mobile Service,2026-06-25,86.2,Cancelled
"Chicago, IL",Alignment,Mobile Service,2026-06-25,38.5,Completed
"Seattle, WA",12V Battery Service,Service Center,2026-06-25,76.0,Rescheduled
"Fremont, CA",Brake Fluid/Caliper Service,Mobile Service,2026-06-25,77.2,Completed
"Fremont, CA",Brake Fluid/Caliper Service,Mobile Service,2026-06-25,53.0,Completed
"Fremont, CA",Warranty Repair,Mobile Service,2026-06-25,85.6,Completed
"Seattle, WA",12V Battery Service,Service Center,2026-06-25,80.2,Rescheduled
"Austin, TX",Collision Repair,Service Center,2026-06-25,92.1,Rescheduled
"Seattle, WA",12V Battery Service,Mobile Service,2026-06-25,65.5,Completed
"Seattle, WA",Warranty Repair,Mobile Service,2026-06-25,91.8,Completed
"Fremont, CA",Warranty Repair,Service Center,2026-06-25,59.9,Cancelled
"Seattle, WA",12V Battery Service,Collision Center,2026-06-25,76.9,Cancelled
"Denver, CO",Alignment,Service Center,2026-06-25,67.5,Completed
"Seattle, WA",Alignment,Mobile Service,2026-06-25,69.6,Completed
"Fremont, CA",Tire Rotation,Mobile Service,2026-06-25,86.3,Completed
"Toronto, ON",Brake Fluid/Caliper Service,Service Center,2026-06-25,54.6,Completed
"Chicago, IL",Alignment,Mobile Service,2026-06-25,84.6,Rescheduled
"Fremont, CA",Alignment,Mobile Service,2026-06-25,78.1,Completed
"Seattle, WA",Alignment,Service Center,2026-06-25,76.1,Cancelled
"Denver, CO",Brake Fluid/Caliper Service,Service Center,2026-06-25,77.0,Rescheduled
"Fremont, CA",12V Battery Service,Service Center,2026-06-25,72.0,Completed
"Austin, TX",Cabin/HEPA Filter Replacement,Mobile Service,2026-06-25,67.1,Cancelled
"Seattle, WA",Cabin/HEPA Filter Replacement,Mobile Service,2026-06-25,76.2,Rescheduled
"Austin, TX",Brake Fluid/Caliper Service,Service Center,2026-06-25,97.6,Completed
"Toronto, ON",Collision Repair,Service Center,2026-06-25,100.0,Cancelled
"Chicago, IL",Cabin/HEPA Filter Replacement,Service Center,2026-06-25,87.4,Cancelled
"Chicago, IL",Alignment,Service Center,2026-06-25,73.8,Completed
"Austin, TX",Alignment,Service Center,2026-06-25,84.8,Rescheduled
"Chicago, IL",Warranty Repair,Service Center,2026-06-25,64.2,Rescheduled
"Seattle, WA",Alignment,Mobile Service,2026-06-25,70.0,Rescheduled
"Austin, TX",Warranty Repair,Service Center,2026-06-25,83.6,Cancelled
"Denver, CO",Cabin/HEPA Filter Replacement,Service Center,2026-06-25,65.7,Completed
"Chicago, IL",Collision Repair,Mobile Service,2026-06-26,73.1,Completed
"Toronto, ON",Warranty Repair,Mobile Service,2026-06-26,82.9,Completed
"Austin, TX",Alignment,Collision Center,2026-06-26,100.0,Cancelled
"Austin, TX",Tire Rotation,Service Center,2026-06-26,62.6,Completed
"Seattle, WA",Alignment,Mobile Service,2026-06-26,64.0,Completed
"Seattle, WA",Brake Fluid/Caliper Service,Service Center,2026-06-26,53.3,Completed
"Chicago, IL",Collision Repair,Mobile Service,2026-06-26,73.8,Cancelled
"Fremont, CA",12V Battery Service,Service Center,2026-06-26,67.4,Completed
"Denver, CO",Brake Fluid/Caliper Service,Service Center,2026-06-26,67.7,Rescheduled
"Toronto, ON",Tire Rotation,Service Center,2026-06-26,78.3,Cancelled
"Fremont, CA",12V Battery Service,Mobile Service,2026-06-26,61.0,Completed
"Chicago, IL",Alignment,Mobile Service,2026-06-26,97.9,Completed
"Toronto, ON",Cabin/HEPA Filter Replacement,Service Center,2026-06-26,93.1,Cancelled
"Fremont, CA",Brake Fluid/Caliper Service,Service Center,2026-06-26,71.6,Completed
"Denver, CO",Brake Fluid/Caliper Service,Service Center,2026-06-26,56.0,Rescheduled
"Seattle, WA",Cabin/HEPA Filter Replacement,Service Center,2026-06-26,73.2,Completed
"Seattle, WA",Warranty Repair,Service Center,2026-06-26,61.6,Completed
"Denver, CO",Tire Rotation,Service Center,2026-06-26,100.0,Cancelled
"Fremont, CA",Cabin/HEPA Filter Replacement,Mobile Service,2026-06-26,73.8,Cancelled
"Denver, CO",Alignment,Service Center,2026-06-26,64.4,Completed
"Seattle, WA",Brake Fluid/Caliper Service,Service Center,2026-06-26,82.6,Cancelled
"Seattle, WA",Tire Rotation,Mobile Service,2026-06-26,92.4,Completed
"Toronto, ON",Brake Fluid/Caliper Service,Service Center,2026-06-26,98.1,Completed
"Denver, CO",Alignment,Service Center,2026-06-26,77.2,Cancelled
"Seattle, WA",Alignment,Mobile Service,2026-06-26,86.9,Cancelled
"Fremont, CA",Cabin/HEPA Filter Replacement,Service Center,2026-06-26,97.2,Completed
"Fremont, CA",Brake Fluid/Caliper Service,Mobile Service,2026-06-26,78.0,Completed
"Fremont, CA",Cabin/HEPA Filter Replacement,Mobile Service,2026-06-26,54.2,Completed
"Austin, TX",Collision Repair,Mobile Service,2026-06-26,52.9,Completed
"Fremont, CA",12V Battery Service,Service Center,2026-06-26,78.6,Completed
"Toronto, ON",Collision Repair,Collision Center,2026-06-26,72.5,Rescheduled
"Austin, TX",Warranty Repair,Mobile Service,2026-06-26,68.9,Cancelled
"Denver, CO",12V Battery Service,Service Center,2026-06-26,75.1,Completed
"Seattle, WA",Brake Fluid/Caliper Service,Mobile Service,2026-06-26,38.7,Cancelled
"Austin, TX",Alignment,Service Center,2026-06-26,88.0,Completed
"Seattle, WA",Warranty Repair,Mobile Service,2026-06-26,81.6,Completed
"Toronto, ON",Warranty Repair,Service Center,2026-06-26,81.8,Cancelled
"Austin, TX",Brake Fluid/Caliper Service,Service Center,2026-06-26,74.7,Completed
"Toronto, ON",Tire Rotation,Service Center,2026-06-26,76.5,Completed
"Seattle, WA",12V Battery Service,Service Center,2026-06-26,72.2,Completed
"Fremont, CA",Alignment,Service Center,2026-06-26,87.9,Rescheduled
"Fremont, CA",Cabin/HEPA Filter Replacement,Service Center,2026-06-26,84.2,Cancelled
"Toronto, ON",Cabin/HEPA Filter Replacement,Mobile Service,2026-06-26,77.4,Completed
"Denver, CO",Tire Rotation,Service Center,2026-06-26,69.2,Cancelled
"Austin, TX",Cabin/HEPA Filter Replacement,Service Center,2026-06-26,76.4,Cancelled
"Fremont, CA",Warranty Repair,Mobile Service,2026-06-26,71.9,Completed
"Toronto, ON",Collision Repair,Service Center,2026-06-26,92.1,Completed
"Austin, TX",Tire Rotation,Service Center,2026-06-26,92.2,Cancelled
"Chicago, IL",Cabin/HEPA Filter Replacement,Service Center,2026-06-26,84.1,Completed
"Austin, TX",Alignment,Service Center,2026-06-26,66.7,Completed
"Denver, CO",Alignment,Service Center,2026-06-26,47.0,Completed
"Denver, CO",Alignment,Mobile Service,2026-06-26,87.2,Completed
"Fremont, CA",Collision Repair,Service Center,2026-06-26,71.3,Cancelled
"Denver, CO",Warranty Repair,Mobile Service,2026-06-26,73.1,Completed
"Chicago, IL",Warranty Repair,Service Center,2026-06-26,97.7,Completed
"Denver, CO",Alignment,Mobile Service,2026-06-26,67.7,Completed
"Toronto, ON",Brake Fluid/Caliper Service,Collision Center,2026-06-27,77.4,Rescheduled
"Denver, CO",Warranty Repair,Mobile Service,2026-06-27,87.0,Rescheduled
"Austin, TX",Cabin/HEPA Filter Replacement,Service Center,2026-06-27,98.8,Completed
"Chicago, IL",Collision Repair,Mobile Service,2026-06-27,62.5,Rescheduled
"Austin, TX",Cabin/HEPA Filter Replacement,Service Center,2026-06-27,81.8,Completed
"Fremont, CA",Brake Fluid/Caliper Service,Service Center,2026-06-27,20.5,Completed
"Seattle, WA",Warranty Repair,Service Center,2026-06-27,73.2,Completed
"Chicago, IL",Tire Rotation,Service Center,2026-06-27,63.6,Completed
"Denver, CO",12V Battery Service,Service Center,2026-06-27,62.3,Completed
"Fremont, CA",Collision Repair,Service Center,2026-06-27,86.1,Cancelled
"Toronto, ON",Collision Repair,Mobile Service,2026-06-27,78.9,Completed
"Toronto, ON",Alignment,Mobile Service,2026-06-27,73.4,Completed
"Seattle, WA",12V Battery Service,Service Center,2026-06-27,95.2,Completed
"Seattle, WA",Brake Fluid/Caliper Service,Mobile Service,2026-06-27,73.4,Cancelled
"Toronto, ON",Alignment,Collision Center,2026-06-27,71.6,Completed
"Denver, CO",Alignment,Service Center,2026-06-27,61.4,Cancelled
"Fremont, CA",Warranty Repair,Service Center,2026-06-27,60.5,Completed
"Denver, CO",Brake Fluid/Caliper Service,Service Center,2026-06-27,94.0,Cancelled
"Seattle, WA",12V Battery Service,Mobile Service,2026-06-27,76.4,Completed
"Toronto, ON",Warranty Repair,Service Center,2026-06-27,61.4,Completed
"Fremont, CA",Collision Repair,Mobile Service,2026-06-27,55.7,Rescheduled
"Seattle, WA",Alignment,Mobile Service,2026-06-27,76.2,Cancelled
"Austin, TX",Warranty Repair,Service Center,2026-06-27,81.8,Completed
"Austin, TX",Cabin/HEPA Filter Replacement,Service Center,2026-06-27,45.0,Completed
"Fremont, CA",Brake Fluid/Caliper Service,Mobile Service,2026-06-27,46.0,Cancelled
